AAA|AKL|OOL|1531675800000|17:30(+0)|2018|7|15|17|30|1531681800000|19:10(+0)|2018|7|15|19|10|220|116.29
AAA|AKL|OOL|1531762200000|17:30(+0)|2018|7|16|17|30|1531768200000|19:10(+0)|2018|7|16|19|10|220|116.29
AAA|AKL|OOL|1531848600000|17:30(+0)|2018|7|17|17|30|1531854600000|19:10(+0)|2018|7|17|19|10|220|101.66
AAA|AKL|OOL|1531935000000|17:30(+0)|2018|7|18|17|30|1531941000000|19:10(+0)|2018|7|18|19|10|220|101.66
AAA|AKL|OOL|1532021400000|17:30(+0)|2018|7|19|17|30|1532027400000|19:10(+0)|2018|7|19|19|10|220|101.66
AAA|AKL|OOL|1532107800000|17:30(+0)|2018|7|20|17|30|1532113800000|19:10(+0)|2018|7|20|19|10|220|101.66
AAA|AKL|OOL|1532194200000|17:30(+0)|2018|7|21|17|30|1532200200000|19:10(+0)|2018|7|21|19|10|220|101.66
AAA|AKL|OOL|1532280600000|17:30(+0)|2018|7|22|17|30|1532286600000|19:10(+0)|2018|7|22|19|10|220|94.35
AAA|AKL|OOL|1532367000000|17:30(+0)|2018|7|23|17|30|1532373000000|19:10(+0)|2018|7|23|19|10|220|94.35
AAA|AKL|OOL|1532453400000|17:30(+0)|2018|7|24|17|30|1532459400000|19:10(+0)|2018|7|24|19|10|220|94.35
AAA|AKL|OOL|1532539800000|17:30(+0)|2018|7|25|17|30|1532545800000|19:10(+0)|2018|7|25|19|10|220|94.35
AAA|AKL|OOL|1532626200000|17:30(+0)|2018|7|26|17|30|1532632200000|19:10(+0)|2018|7|26|19|10|220|94.35
AAA|AKL|OOL|1532712600000|17:30(+0)|2018|7|27|17|30|1532718600000|19:10(+0)|2018|7|27|19|10|220|101.66
AAA|AKL|OOL|1532799000000|17:30(+0)|2018|7|28|17|30|1532805000000|19:10(+0)|2018|7|28|19|10|220|94.35
AAA|AKL|OOL|1532885400000|17:30(+0)|2018|7|29|17|30|1532891400000|19:10(+0)|2018|7|29|19|10|220|94.35
AAA|AKL|OOL|1532971800000|17:30(+0)|2018|7|30|17|30|1532977800000|19:10(+0)|2018|7|30|19|10|220|94.35
AAA|AKL|OOL|1533058200000|17:30(+0)|2018|7|31|17|30|1533064200000|19:10(+0)|2018|7|31|19|10|220|94.35
AAA|AKL|OOL|1533144600000|17:30(+0)|2018|8|1|17|30|1533150600000|19:10(+0)|2018|8|1|19|10|220|94.35
AAA|AKL|OOL|1533231000000|17:30(+0)|2018|8|2|17|30|1533237000000|19:10(+0)|2018|8|2|19|10|220|94.35
AAA|AKL|OOL|1533317400000|17:30(+0)|2018|8|3|17|30|1533323400000|19:10(+0)|2018|8|3|19|10|220|94.35
AAA|AKL|OOL|1533403800000|17:30(+0)|2018|8|4|17|30|1533409800000|19:10(+0)|2018|8|4|19|10|220|94.35
AAA|AKL|OOL|1533490200000|17:30(+0)|2018|8|5|17|30|1533496200000|19:10(+0)|2018|8|5|19|10|220|101.66
AAA|AKL|OOL|1533576600000|17:30(+0)|2018|8|6|17|30|1533582600000|19:10(+0)|2018|8|6|19|10|220|94.35
AAA|AKL|OOL|1533663000000|17:30(+0)|2018|8|7|17|30|1533669000000|19:10(+0)|2018|8|7|19|10|220|94.35
AAA|AKL|OOL|1533749400000|17:30(+0)|2018|8|8|17|30|1533755400000|19:10(+0)|2018|8|8|19|10|220|94.35
