JSR|AKL|OOL|1531674000000|17:00|2018|7|15|17|0|1531680000000|18:40|2018|7|15|18|40|220|131.4
JSR|AKL|OOL|1531764600000|18:10|2018|7|16|18|10|1531770600000|19:50|2018|7|16|19|50|220|129.08
JSR|AKL|OOL|1531845600000|16:40|2018|7|17|16|40|1531851600000|18:20|2018|7|17|18|20|220|102.67
JSR|AKL|OOL|1531932000000|16:40|2018|7|18|16|40|1531938000000|18:20|2018|7|18|18|20|220|106.74
JSR|AKL|OOL|1532019000000|16:50|2018|7|19|16|50|1532025000000|18:30|2018|7|19|18|30|220|97.59
JSR|AKL|OOL|1532105400000|16:50|2018|7|20|16|50|1532111400000|18:30|2018|7|20|18|30|220|82.34
JSR|AKL|OOL|1532193000000|17:10|2018|7|21|17|10|1532199000000|18:50|2018|7|21|18|50|220|81.32
JSR|AKL|OOL|1532282400000|18:00|2018|7|22|18|0|1532288400000|19:40|2018|7|22|19|40|220|90.57
JSR|AKL|OOL|1532368800000|18:00|2018|7|23|18|0|1532374800000|19:40|2018|7|23|19|40|220|83.97
JSR|AKL|OOL|1532454000000|17:40|2018|7|24|17|40|1532460000000|19:20|2018|7|24|19|20|220|80.19
JSR|AKL|OOL|1532536800000|16:40|2018|7|25|16|40|1532542800000|18:20|2018|7|25|18|20|220|85.85
JSR|AKL|OOL|1532623800000|16:50|2018|7|26|16|50|1532629800000|18:30|2018|7|26|18|30|220|109.44
JSR|AKL|OOL|1532711400000|17:10|2018|7|27|17|10|1532717400000|18:50|2018|7|27|18|50|220|117.92
JSR|AKL|OOL|1532799000000|17:30|2018|7|28|17|30|1532805000000|19:10|2018|7|28|19|10|220|81.14
JSR|AKL|OOL|1532884200000|17:10|2018|7|29|17|10|1532890200000|18:50|2018|7|29|18|50|220|102.84
JSR|AKL|OOL|1532972400000|17:40|2018|7|30|17|40|1532978400000|19:20|2018|7|30|19|20|220|93.4
JSR|AKL|OOL|1533058800000|17:40|2018|7|31|17|40|1533064800000|19:20|2018|7|31|19|20|220|79.25
JSR|AKL|OOL|1533231600000|17:40|2018|8|2|17|40|1533237600000|19:20|2018|8|2|19|20|220|101.89
JSR|AKL|OOL|1533316800000|17:20|2018|8|3|17|20|1533322800000|19:00|2018|8|3|19|0|220|99.06
JSR|AKL|OOL|1533402600000|17:10|2018|8|4|17|10|1533408600000|18:50|2018|8|4|18|50|220|79.25
JSR|AKL|OOL|1533490200000|17:30|2018|8|5|17|30|1533496200000|19:10|2018|8|5|19|10|220|99.62
JSR|AKL|OOL|1533574200000|16:50|2018|8|6|16|50|1533580200000|18:30|2018|8|6|18|30|220|112.27
JSR|AKL|OOL|1533661800000|17:10|2018|8|7|17|10|1533667800000|18:50|2018|8|7|18|50|220|110.38
JSR|AKL|OOL|1533746400000|16:40|2018|8|8|16|40|1533752400000|18:20|2018|8|8|18|20|220|100.01
JSR|AKL|OOL|1533836400000|17:40|2018|8|9|17|40|1533842400000|19:20|2018|8|9|19|20|220|88.68
JSR|AKL|OOL|1534006800000|17:00|2018|8|11|17|0|1534012800000|18:40|2018|8|11|18|40|220|94.35
JSR|AKL|OOL|1534095600000|17:40|2018|8|12|17|40|1534101600000|19:20|2018|8|12|19|20|220|120.97
JSR|AKL|OOL|1534183800000|18:10|2018|8|13|18|10|1534189800000|19:50|2018|8|13|19|50|220|94.35
JSR|IXB|DEL|1531659300000|12:55|2018|7|15|12|55|1531667700000|15:15|2018|7|15|15|15|140|3472.68
JSR|IXB|DEL|1531680300000|18:45|2018|7|15|18|45|1531689000000|21:10|2018|7|15|21|10|145|3916.85
